province,municipality,party,ward_list_order,seat_category,surname,full_name,seat_type
Eastern Cape,DC10 - Sarah Baartman,AFRICAN NATIONAL CONGRESS,PR(1),PR,NJADAYI,MZIMKHULU ERIC,"DC ""40%"""
Eastern Cape,DC10 - Sarah Baartman,AFRICAN NATIONAL CONGRESS,PR(2),PR,FUNISELO,ZOLISWA,"DC ""40%"""
Eastern Cape,DC10 - Sarah Baartman,AFRICAN NATIONAL CONGRESS,PR(3),PR,GAGA,NOMHLE SONIA,"DC ""40%"""
Eastern Cape,DC10 - Sarah Baartman,AFRICAN NATIONAL CONGRESS,PR(4),PR,LUCAS,SOLETHU,"DC ""40%"""
Eastern Cape,DC10 - Sarah Baartman,AFRICAN NATIONAL CONGRESS,PR(5),PR,FAXI,PHINDILE PATRICK,"DC ""40%"""
Eastern Cape,DC10 - Sarah Baartman,AFRICAN NATIONAL CONGRESS,PR(6),PR,BOOYSEN,CHARLENE TARIN,"DC ""40%"""
Eastern Cape,DC10 - Sarah Baartman,DEMOCRATIC ALLIANCE,PR(1),PR,BRITZ,JOSEPH HENDRIK PIETER,"DC ""40%"""
Eastern Cape,DC10 - Sarah Baartman,DEMOCRATIC ALLIANCE,PR(2),PR,GAILEY,RORY MICHAEL JOHN,"DC ""40%"""
Eastern Cape,DC10 - Sarah Baartman,DEMOCRATIC ALLIANCE,PR(3),PR,ERASMUS,LAETITIA,"DC ""40%"""
Eastern Cape,DC10 - Sarah Baartman,DEMOCRATIC ALLIANCE,PR(4),PR,JANTJIES,ELIA ROBIN,"DC ""40%"""
Eastern Cape,DC10 - Sarah Baartman,DEMOCRATIC ALLIANCE,PR(5),PR,MEY,JOERHAN VOUGHAN,"DC ""40%"""
Eastern Cape,DC10 - Sarah Baartman,ECONOMIC FREEDOM FIGHTERS,PR(1),PR,KOBA,NOMALUNGISA MONICA,"DC ""40%"""
Eastern Cape,EC101 - Dr. Beyers Naude,AFRICAN NATIONAL CONGRESS,21001001,Ward,FRAZENBURG,YVONNE DESTEMONA,LC ward
Eastern Cape,EC101 - Dr. Beyers Naude,AFRICAN NATIONAL CONGRESS,21001003,Ward,MNUNI,ANNELLA,LC ward
Eastern Cape,EC101 - Dr. Beyers Naude,AFRICAN NATIONAL CONGRESS,21001005,Ward,GALADA,XOLILE NZIMKULU,LC ward
Eastern Cape,EC101 - Dr. Beyers Naude,AFRICAN NATIONAL CONGRESS,21001006,Ward,NOFEMELE,ANDILE STEPHEN,LC ward
Eastern Cape,EC101 - Dr. Beyers Naude,AFRICAN NATIONAL CONGRESS,21001007,Ward,JACOBS,NATHAN ANGUS VAVIAN,LC ward
Eastern Cape,EC101 - Dr. Beyers Naude,AFRICAN NATIONAL CONGRESS,21001010,Ward,BOLLIGELO,ISAK JAQUIN,LC ward
Eastern Cape,EC101 - Dr. Beyers Naude,AFRICAN NATIONAL CONGRESS,21001011,Ward,ARRIES,ABRAHAM,LC ward
Eastern Cape,EC101 - Dr. Beyers Naude,AFRICAN NATIONAL CONGRESS,PR(1),PR,HENDRICKS,KATIE,LC PR
Eastern Cape,EC101 - Dr. Beyers Naude,AFRICAN NATIONAL CONGRESS,PR(2),PR,DE VOS,DEON WESLEY SAM,LC PR
Eastern Cape,EC101 - Dr. Beyers Naude,AFRICAN NATIONAL CONGRESS,PR(3),PR,KEKANA,KHUNJUZWA EUNICE,LC PR
Eastern Cape,EC101 - Dr. Beyers Naude,AFRICAN NATIONAL CONGRESS,PR(4),PR,SÄFERS,WILLEM JACOBUS,LC PR
Eastern Cape,EC101 - Dr. Beyers Naude,COMPATRIOTS OF SOUTH AFRICA,PR(1),PR,HOFFMAN,LAUGHTON GARTH,LC PR
Eastern Cape,EC101 - Dr. Beyers Naude,DEMOCRATIC ALLIANCE,21001002,Ward,SMITH,RICARDO LLEWELLYN,LC ward
Eastern Cape,EC101 - Dr. Beyers Naude,DEMOCRATIC ALLIANCE,21001004,Ward,WILLIAMS,JOY JUANITA,LC ward
Eastern Cape,EC101 - Dr. Beyers Naude,DEMOCRATIC ALLIANCE,21001008,Ward,LOOCK,EWALD LAURENS,LC ward
Eastern Cape,EC101 - Dr. Beyers Naude,DEMOCRATIC ALLIANCE,21001009,Ward,BOOYSEN,HENDRIK,LC ward
Eastern Cape,EC101 - Dr. Beyers Naude,DEMOCRATIC ALLIANCE,21001012,Ward,BEZUIDENHOUT,DANIEL JOHANNES,LC ward
Eastern Cape,EC101 - Dr. Beyers Naude,DEMOCRATIC ALLIANCE,PR(1),PR,RUITERS,ELDRIGE ASHVON,LC PR
Eastern Cape,EC101 - Dr. Beyers Naude,DEMOCRATIC ALLIANCE,PR(2),PR,DEYZEL,MANDY,LC PR
Eastern Cape,EC101 - Dr. Beyers Naude,DEMOCRATIC ALLIANCE,PR(3),PR,DE VILLIERS,FRANCOIS DU TOIT,LC PR
Eastern Cape,EC101 - Dr. Beyers Naude,DEMOCRATIC ALLIANCE,PR(4),PR,WIEHAHN,GARRY JOSEPH,LC PR
Eastern Cape,EC101 - Dr. Beyers Naude,DEMOCRATIC ALLIANCE,PR(5),PR,LOMBERG,JAMES DENNIS,LC PR
Eastern Cape,EC101 - Dr. Beyers Naude,ECONOMIC FREEDOM FIGHTERS,PR(1),PR,PLAATJIES,TRACEY-LEE-ANN PATRICIA,LC PR
Eastern Cape,EC101 - Dr. Beyers Naude,VRYHEIDSFRONT PLUS,PR(1),PR,VAN HEERDEN,ADRIAAN ROTHNER,LC PR
Eastern Cape,EC102 - Blue Crane Route,AFRICAN NATIONAL CONGRESS,21002001,Ward,BASKITI,ZAMUXOLO SIDWELL,LC ward
Eastern Cape,EC102 - Blue Crane Route,AFRICAN NATIONAL CONGRESS,21002003,Ward,SYANTYI,AYANDA,LC ward
Eastern Cape,EC102 - Blue Crane Route,AFRICAN NATIONAL CONGRESS,21002004,Ward,MALI,MNCEDI KEITH,LC ward
Eastern Cape,EC102 - Blue Crane Route,AFRICAN NATIONAL CONGRESS,21002006,Ward,SONKWALA,PHANDULWAZI,LC ward
Eastern Cape,EC102 - Blue Crane Route,AFRICAN NATIONAL CONGRESS,PR(1),PR,MANXOWENI,BONISILE AMOS,LC PR
Eastern Cape,EC102 - Blue Crane Route,AFRICAN NATIONAL CONGRESS,PR(2),PR,YANTOLO NKONYENI,NELISWA PRINCESS,LC PR
Eastern Cape,EC102 - Blue Crane Route,DEMOCRATIC ALLIANCE,21002002,Ward,HEYNSE,ARCHER BRENDO CARLO,LC ward
Eastern Cape,EC102 - Blue Crane Route,DEMOCRATIC ALLIANCE,21002005,Ward,NEL,CYRIL,LC ward
Eastern Cape,EC102 - Blue Crane Route,DEMOCRATIC ALLIANCE,PR(1),PR,MARTIN,JONATHAN MALVIN,LC PR
Eastern Cape,EC102 - Blue Crane Route,DEMOCRATIC ALLIANCE,PR(2),PR,BROWN,FIONA PATRICIA,LC PR
Eastern Cape,EC102 - Blue Crane Route,ECONOMIC FREEDOM FIGHTERS,PR(1),PR,PETA,THEMBINKOSI WILBERFORCE,LC PR
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,21004001,Ward,PETER,PHUMELELE,LC ward
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,21004002,Ward,XONXA,MPHUMZI RUMSELL,LC ward
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,21004003,Ward,HOYI,ZANEKHAYA,LC ward
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,21004005,Ward,MENE,GCOBISA BRENDA,LC ward
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,21004006,Ward,JEZI,VUYANI NELSON,LC ward
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,21004007,Ward,MASINDA,LUNGA,LC ward
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,21004009,Ward,YAKA,THOZAMILE SYLVESTER,LC ward
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,21004010,Ward,CETU,ZODWA ALFREDA,LC ward
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,21004011,Ward,ZONO,SAKHIWO,LC ward
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,21004012,Ward,NKWENTSHA,MZOBANZI,LC ward
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,21004013,Ward,MATINA,WANDISILE ERIC,LC ward
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,PR(1),PR,MATYUMZA,MTUTUZELI,LC PR
